ALL_Sec,ALL_Prim,Comf_Sec,Comf_Prim,Low_Sec,Eco_Sec,Eco_Prim,Bus_Sec,Bus_Prim,Russia,Moscow,CPI,timestamp
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-09
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-10
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-11
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-12
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-13
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-14
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-15
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-16
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-17
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-18
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-19
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-20
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-21
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-22
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-23
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-24
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-25
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-26
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-27
160991.97,128982.42,158870.06,110916.7,132148.1,128697.25,95709.26,272919.56,209352.11,"18,637.50","33,358.00",310.0,2010-02-28
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-01
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-02
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-03
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-04
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-05
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-06
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-07
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-08
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-09
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-10
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-11
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-12
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-13
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-14
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-15
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-16
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-17
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-18
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-19
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-20
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-21
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-22
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-23
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-24
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-25
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-26
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-27
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-28
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-29
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-30
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",315.1,2010-03-31
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-01
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-02
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-03
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-04
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-05
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-06
